match_id,set_number,team_a_points,team_b_points
fivb_vis:9151,4,21,25
fivb_vis:9152,1,15,25
fivb_vis:9152,2,19,25
fivb_vis:9152,3,22,25
fivb_vis:9153,1,25,21
fivb_vis:9153,2,25,11
fivb_vis:9153,3,25,12
fivb_vis:9154,1,25,27
fivb_vis:9154,2,12,25
fivb_vis:9154,3,7,25
fivb_vis:9155,1,25,22
fivb_vis:9155,2,21,25
fivb_vis:9155,3,22,25
fivb_vis:9155,4,30,32
fivb_vis:9156,1,25,18
fivb_vis:9156,2,25,13
fivb_vis:9156,3,25,15
fivb_vis:9157,1,27,29
fivb_vis:9157,2,21,25
fivb_vis:9157,3,21,25
fivb_vis:9158,1,17,25
fivb_vis:9158,2,20,25
fivb_vis:9158,3,22,25
fivb_vis:9159,1,15,25
fivb_vis:9159,2,13,25
fivb_vis:9159,3,12,25
fivb_vis:9160,1,25,12
fivb_vis:9160,2,25,23
fivb_vis:9160,3,25,14
fivb_vis:9161,1,25,18
fivb_vis:9161,2,22,25
fivb_vis:9161,3,19,25
fivb_vis:9161,4,25,13
fivb_vis:9161,5,11,15
fivb_vis:9162,1,23,25
fivb_vis:9162,2,22,25
fivb_vis:9162,3,21,25
fivb_vis:9163,1,14,25
fivb_vis:9163,2,10,25
fivb_vis:9163,3,16,25
fivb_vis:9164,1,15,25
fivb_vis:9164,2,15,25
fivb_vis:9164,3,18,25
fivb_vis:9165,1,25,11
fivb_vis:9165,2,25,12
fivb_vis:9165,3,25,11
fivb_vis:9166,1,25,15
fivb_vis:9166,2,25,20
fivb_vis:9166,3,25,22
fivb_vis:9167,1,20,25
fivb_vis:9167,2,23,25
fivb_vis:9167,3,23,25
fivb_vis:9168,1,10,25
fivb_vis:9168,2,20,25
fivb_vis:9168,3,14,25
fivb_vis:9169,1,25,18
fivb_vis:9169,2,25,18
fivb_vis:9169,3,23,25
fivb_vis:9169,4,25,18
fivb_vis:9170,1,21,25
fivb_vis:9170,2,15,25
fivb_vis:9170,3,22,25
fivb_vis:9171,1,25,27
fivb_vis:9171,2,25,16
fivb_vis:9171,3,26,28
fivb_vis:9171,4,25,19
fivb_vis:9171,5,13,15
fivb_vis:9172,1,18,25
fivb_vis:9172,2,23,25
fivb_vis:9172,3,23,25
fivb_vis:9173,1,25,21
fivb_vis:9173,2,25,17
fivb_vis:9173,3,13,25
fivb_vis:9173,4,21,25
